 m n lenL1 lenS1 Hright1 Hleft1 Area1 CosA1 lenL2 lenS2 Hright2 Hleft2 Area2 CosA2 Dcen Datom Dcenp1 Dcenp2 CosL CosS CosN CosO AreaPJ
    5  226    1.41338    1.12070    0.26337    1.17120    0.92878    0.92041    1.40290    1.08237    0.27077    1.13086    0.92182    0.99222    0.44582    0.27951   -0.40397   -0.31084   -0.99891   -0.98144   -0.19587    0.86689    0.21736
    5  592    1.41338    1.12070    0.26337    1.17120    0.92878    0.92041    1.39861    1.07882    0.28124    1.13049    0.93049    0.99808    1.42176    0.41335   -0.74066    0.10318    0.23506   -0.79878    0.18360   -0.92708    0.04870
    5  838    1.41338    1.12070    0.26337    1.17120    0.92878    0.92041    1.42276    1.10047    0.26800    1.15434    0.92800    0.97173    1.42977    0.22715   -0.12398    0.55689   -0.51478   -0.91602    0.17328   -0.81160   -0.11625
    5 1015    1.41338    1.12070    0.26337    1.17120    0.92878    0.92041    1.40931    1.09235    0.27278    1.14852    0.92015    0.86063    0.76007    0.28524   -0.22652    0.51969   -0.11069   -0.43402    0.04890    0.28008   -0.00634
    5 1269    1.41338    1.12070    0.26337    1.17120    0.92878    0.92041    1.41999    1.09043    0.25277    1.13739    0.90535    0.99522    1.62440    0.42679    0.46007    0.62470    0.72876    0.82718    0.07452    0.47117    0.07997
    5 1399    1.41338    1.12070    0.26337    1.17120    0.92878    0.92041    1.41589    1.11507    0.25614    1.16960    0.90547    0.78127    1.02928    0.26200   -0.23115   -0.72673   -0.34051    0.10829   -0.19903   -0.45175    0.10094
    5 1496    1.41338    1.12070    0.26337    1.17120    0.92878    0.92041    1.41185    1.10010    0.26419    1.15369    0.91392    0.90089    1.06857    0.32191   -0.05556    0.77909   -0.25258   -0.28132   -0.19212    0.19456    0.18281
    5 1685    1.41338    1.12070    0.26337    1.17120    0.92878    0.92041    1.40163    1.08835    0.27811    1.14389    0.92436    0.95829    1.20082    0.26784    0.15329   -0.18410    0.46672    0.95685   -0.16947   -0.80555   -0.10015
    5 1721    1.41338    1.12070    0.26337    1.17120    0.92878    0.92041    1.40896    1.08944    0.27754    1.15051    0.91832    0.99925    1.34240    0.23065    0.37484   -0.44564   -0.55941   -0.87380    0.09062   -0.30218   -0.09051
    5 1762    1.41338    1.12070    0.26337    1.17120    0.92878    0.92041    1.39754    1.04862    0.27569    1.10743    0.89248    0.88747    0.61838    0.28295   -0.23984    0.51174    0.88221    0.80145   -0.08090   -0.59368   -0.08098
    5 1904    1.41338    1.12070    0.26337    1.17120    0.92878    0.92041    1.39186    1.08732    0.26533    1.12323    0.92981    0.99352    0.61873    0.25258    0.54251   -0.02817   -0.93439   -0.80325    0.02403   -0.37568   -0.02613
    5 2048    1.41338    1.12070    0.26337    1.17120    0.92878    0.92041    1.39126    1.09128    0.26485    1.16551    0.85731    0.61953    0.56204    0.22256    0.26977    0.32743   -0.95962   -0.96485   -0.19995    0.86389    0.19487
    5 2128    1.41338    1.12070    0.26337    1.17120    0.92878    0.92041    1.42337    1.13132    0.26822    1.17228    0.96805    0.98827    1.42819    0.25096   -0.20101   -0.10484    0.70001    0.87332    0.01329    0.16896    0.01490
    6  346    1.39921    1.07621    0.29070    1.14607    0.91387    0.95322    1.42518    1.10511    0.25012    1.14287    0.92830    0.98177    1.37937    0.28466    0.14483   -0.07074   -0.14905   -0.13801    0.01249    0.85581   -0.00209
    6  373    1.39921    1.07621    0.29070    1.14607    0.91387    0.95322    1.41911    1.09466    0.29173    1.16127    0.94368    0.98664    1.49484    0.27178   -0.09608    0.10761    0.93692    0.93175    0.14206    0.62586    0.14994
    6  444    1.39921    1.07621    0.29070    1.14607    0.91387    0.95322    1.39191    1.09452    0.24482    1.12311    0.90910    0.90469    1.36671    0.33775    0.68712   -0.37871    0.33984   -0.49404    0.20120   -0.52188    0.08373
    6  509    1.39921    1.07621    0.29070    1.14607    0.91387    0.95322    1.40735    1.09858    0.28210    1.15454    0.93959    0.99500    1.01385    0.22582   -0.23107   -0.12434   -0.99845   -0.99921   -0.21231    0.99846    0.23350
    6  520    1.39921    1.07621    0.29070    1.14607    0.91387    0.95322    1.41416    1.07969    0.26118    1.12105    0.92337    0.99963    0.54568    0.24329   -0.47146   -0.43535   -0.99717   -0.82883   -0.15366    0.56641    0.16954
    6  539    1.39921    1.07621    0.29070    1.14607    0.91387    0.95322    1.39761    1.08162    0.26805    1.12619    0.92021    0.94505    1.53110    0.25683   -0.40120    0.04005    0.90591    0.94794    0.11210    0.49851    0.11363
    6  642    1.39921    1.07621    0.29070    1.14607    0.91387    0.95322    1.40426    1.09502    0.25776    1.13223    0.92552    0.95270    1.49246    0.43756    0.46866   -1.01331    0.39295   -0.13882    0.15452   -0.21523    0.16101
    6  666    1.39921    1.07621    0.29070    1.14607    0.91387    0.95322    1.40353    1.06621    0.28014    1.11359    0.93327    0.99977    1.47017    0.30034   -0.39208    0.17746    0.98654    0.61909    0.01720   -0.41601    0.01905
    6  931    1.39921    1.07621    0.29070    1.14607    0.91387    0.95322    1.42154    1.09011    0.28356    1.14530    0.94909    0.99479    1.03409    0.20416    0.25044    0.39054   -0.20857    0.42428   -0.08084    0.03802    0.08995
    6 1017    1.39921    1.07621    0.29070    1.14607    0.91387    0.95322    1.41204    1.10951    0.26912    1.15103    0.95065    0.99758    1.18026    0.27912   -0.23091    0.47022   -0.46776    0.43807   -0.05070   -0.53927    0.04616
    6 1118    1.39921    1.07621    0.29070    1.14607    0.91387    0.95322    1.40904    1.10397    0.27082    1.15187    0.93733    0.99677    0.53442    0.27670    0.13268   -0.47123    0.97288    0.60039    0.01709   -0.33008    0.01856
    6 1199    1.39921    1.07621    0.29070    1.14607    0.91387    0.95322    1.41787    1.10411    0.26312    1.16027    0.91248    0.95229    0.79434    0.25914    0.26165    0.45174   -0.98860   -0.89550   -0.15989    0.64130    0.16935
    6 1213    1.39921    1.07621    0.29070    1.14607    0.91387    0.95322    1.41053    1.09737    0.26765    1.15023    0.91986    0.99502    1.36341    0.42374   -0.58323   -0.83598   -0.19010   -0.00220   -0.12624    0.27556    0.07775
    6 1282    1.39921    1.07621    0.29070    1.14607    0.91387    0.95322    1.39822    1.09777    0.26868    1.16559    0.88504    0.69858    1.19502    0.25504    0.77095    0.64144   -0.34876    0.36207   -0.02271    0.14835    0.02337
    6 1289    1.39921    1.07621    0.29070    1.14607    0.91387    0.95322    1.39874    1.11561    0.25286    1.15346    0.92095    0.83342    0.55198    0.27631    0.50930    0.16708   -0.99321   -0.86825   -0.11876    0.36032    0.12525
    6 1303    1.39921    1.07621    0.29070    1.14607    0.91387    0.95322    1.40361    1.11786    0.23805    1.13372    0.93883    0.92022    1.60988    0.23083    0.27502   -0.03688    0.93074    0.67474   -0.04535   -0.49955   -0.04548
    6 1594    1.39921    1.07621    0.29070    1.14607    0.91387    0.95322    1.41208    1.10032    0.27221    1.14544    0.94533    0.97141    1.05356    0.20354   -0.64761   -0.11064   -0.18010   -0.22468    0.16448   -0.28538   -0.08472
    6 1954    1.39921    1.07621    0.29070    1.14607    0.91387    0.95322    1.41232    1.06414    0.29127    1.13580    0.91438    0.99334    0.58297    0.24045   -0.52455    0.08114    0.98966    0.77926    0.12960    0.37812    0.14311
    7   57    1.43071    1.09794    0.26671    1.15504    0.92315    0.95174    1.41853    1.08290    0.29455    1.16277    0.91808    0.99128    1.00251    0.30413   -0.36405   -0.81815    0.07062   -0.40872    0.17064   -0.07235    0.07013
    7  132    1.43071    1.09794    0.26671    1.15504    0.92315    0.95174    1.40701    1.08475    0.27333    1.13478    0.92755    0.97841    0.57758    0.28617    0.27797   -0.26567    0.97279    0.46747   -0.07681   -0.95527   -0.08353
    7  440    1.43071    1.09794    0.26671    1.15504    0.92315    0.95174    1.40233    1.09725    0.26220    1.13682    0.92915    0.98079    0.97913    0.49415    0.42935   -0.66212   -0.98944   -0.83317   -0.14362    0.57355    0.15742
    7  566    1.43071    1.09794    0.26671    1.15504    0.92315    0.95174    1.41714    1.09777    0.26446    1.14271    0.93334    0.91744    0.49380    0.26406   -0.48151    0.19304   -0.94351   -0.68756    0.00287   -0.26026   -0.00302
    7  567    1.43071    1.09794    0.26671    1.15504    0.92315    0.95174    1.37724    1.06703    0.26428    1.09793    0.91726    0.86206    0.98957    0.31074    0.14664   -0.95692    0.18355    0.64535   -0.16972   -0.58835   -0.08620
    7  879    1.43071    1.09794    0.26671    1.15504    0.92315    0.95174    1.40195    1.07380    0.29549    1.15510    0.90217    0.99552    1.20326    0.20894    0.05351    0.52237   -0.31325   -0.90257    0.00226    0.00795   -0.00093
    7 1113    1.43071    1.09794    0.26671    1.15504    0.92315    0.95174    1.39469    1.06692    0.26057    1.10783    0.90439    0.95543    1.03157    0.27976   -0.37279   -0.62127   -0.03728   -0.57113    0.15721   -0.31645   -0.01413
    7 1451    1.43071    1.09794    0.26671    1.15504    0.92315    0.95174    1.40684    1.07797    0.28039    1.13801    0.91877    0.99746    0.54755    0.27591    0.18110   -0.50646   -0.98922   -0.62734   -0.04895   -0.13804    0.05404
    7 1578    1.43071    1.09794    0.26671    1.15504    0.92315    0.95174    1.39733    1.06482    0.27250    1.12627    0.88916    0.82812    0.50245    0.25653   -0.17986   -0.45268    0.99816    0.90262    0.19082    0.79388    0.20516
    7 1659    1.43071    1.09794    0.26671    1.15504    0.92315    0.95174    1.40524    1.09877    0.26538    1.14181    0.93124    0.93578    0.52648    0.28592    0.52422    0.28767   -0.97504   -0.93013   -0.09016    0.26065    0.09801
    7 1714    1.43071    1.09794    0.26671    1.15504    0.92315    0.95174    1.42247    1.09963    0.27461    1.14839    0.94965    0.99285    1.38239    0.43728    0.15221   -0.93218   -0.33251   -0.20557    0.12550   -0.25087   -0.13611
    7 1827    1.43071    1.09794    0.26671    1.15504    0.92315    0.95174    1.39900    1.10690    0.24872    1.13765    0.92275    0.90714    0.74142    0.22808   -0.35257   -0.15798   -0.96870   -0.61838   -0.00758   -0.27097    0.00806
    8   45    1.41538    1.10158    0.26188    1.14506    0.93185    0.95768    1.40079    1.09375    0.25695    1.12884    0.92505    0.98682    0.47455    0.25933    0.24942    0.46123    0.99237    0.93722    0.17214    0.75247    0.18996
    8  331    1.41538    1.10158    0.26188    1.14506    0.93185    0.95768    1.41480    1.09581    0.29280    1.17034    0.92851    0.99705    1.59203    0.49362    0.67921    0.25788   -0.48689    0.27964   -0.16472   -0.16816    0.09113
    8  355    1.41538    1.10158    0.26188    1.14506    0.93185    0.95768    1.40632    1.09625    0.25025    1.12618    0.92701    0.99187    0.47021    0.25190   -0.29544   -0.46704    0.99858    0.88122    0.18257    0.76320    0.20206
    8  566    1.41538    1.10158    0.26188    1.14506    0.93185    0.95768    1.41714    1.09777    0.26446    1.14271    0.93334    0.91744    1.08691    0.25287    0.26934   -0.56855   -0.46822   -0.16126   -0.04707    0.51453    0.03012
